a52dec 0.7.4-10
python-cffi 1.14.0-2
python-chardet 3.0.4-4
python-click 7.1.1-1
python-colorama 0.4.3-1
python-configobj 5.0.6-7
python-constantly 15.1.0-5
python-contextlib2 0.6.0.post1-1
python-cryptography 2.9.2-1
python-dateutil 2.8.1-3
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-docker 4.2.0-1
python-docker-pycreds 0.4.0-5
python-dockerpty 0.4.1-6
python-docopt 0.6.2-7
python-docutils 0.16-1
python-gobject 3.36.0-2
python-html5lib 1.0.1-7
python-hyperlink 19.0.0-3
python-idna 2.9-1
python-importlib-metadata 1.5.1-1
python-incremental 17.5.0-4
python-jedi 0.16.0-1
python-jinja 2.11.2-1
python-jmespath 0.9.5-1
python-jsonschema 3.2.0-2
python-lockfile 0.12.2-6
python-markupsafe 1.1.1-3
python-more-itertools 8.2.0-1
python-msgpack 1.0.0-1
python-ordered-set 3.1.1-1
python-packaging 20.3-1
python-paramiko 2.7.1-1
python-parso 0.6.2-1
python-pep517 0.8.2-1
python-pip 20.0.2-1
python-ply 3.11-4
python-powerline 2.7-5
python-progress 1.5-3
python-psutil 5.7.0-1
python-pyalsa 1.1.6-5
python-pyasn1 0.4.8-1
